('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         960268 function calls (935630 primitive calls) in 1.997 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    325/1    0.010    0.000    1.997    1.997 {built-in method builtins.exec}
        1    0.001    0.001    1.997    1.997 financial.py:1(<module>)
        1    0.017    0.017    1.734    1.734 financial.py:32(get_response)
        1    0.000    0.000    1.339    1.339 financial.py:14(check_response)
        1    0.000    0.000    1.339    1.339 _api.py:174(get)
        1    0.000    0.000    1.339    1.339 _api.py:39(request)
        1    0.000    0.000    1.217    1.217 _client.py:771(request)
        1    0.000    0.000    1.217    1.217 _client.py:879(send)
        1    0.000    0.000    1.052    1.052 _client.py:930(_send_handling_auth)
        1    0.000    0.000    1.052    1.052 _client.py:964(_send_handling_redirects)
        1    0.000    0.000    1.052    1.052 _client.py:1001(_send_single_request)
        1    0.000    0.000    1.051    1.051 default.py:230(handle_request)
        1    0.000    0.000    1.051    1.051 connection_pool.py:199(handle_request)
        1    0.000    0.000    1.051    1.051 connection.py:69(handle_request)
      244    0.002    0.000    1.041    0.004 http11.py:209(_receive_event)
      286    0.001    0.000    1.029    0.004 sync.py:124(read)
      286    0.000    0.000    1.026    0.004 ssl.py:1225(recv)
      286    0.000    0.000    1.026    0.004 ssl.py:1094(read)
      286    1.025    0.004    1.025    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.885    0.885 http11.py:65(handle_request)
        1    0.000    0.000    0.884    0.884 http11.py:170(_receive_response_headers)
       30    0.001    0.000    0.794    0.026 __init__.py:1(<module>)
    298/6    0.003    0.000    0.350    0.058 <frozen importlib._bootstrap>:1349(_find_and_load)
    297/5    0.001    0.000    0.350    0.070 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    263/5    0.001    0.000    0.349    0.070 <frozen importlib._bootstrap>:911(_load_unlocked)
    234/5    0.001    0.000    0.349    0.070 <frozen importlib._bootstrap_external>:989(exec_module)
   624/10    0.001    0.000    0.348    0.035 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.235    0.235 __init__.py:209(__init__)
        1    0.000    0.000    0.235    0.235 __init__.py:650(_feed)
        1    0.050    0.050    0.235    0.235 _lxml.py:478(feed)
    46/15    0.000    0.000    0.181    0.012 {built-in method builtins.__import__}
        2    0.000    0.000    0.172    0.086 _api.py:1(<module>)
        1    0.000    0.000    0.166    0.166 connection.py:105(_connect)
        5    0.001    0.000    0.165    0.033 {method 'join' of 'bytes' objects}
        1    0.000    0.000    0.165    0.165 _models.py:876(read)
      243    0.000    0.000    0.164    0.001 _models.py:884(iter_bytes)
      243    0.000    0.000    0.158    0.001 _models.py:935(iter_raw)
      243    0.000    0.000    0.157    0.001 _client.py:152(__iter__)
      243    0.000    0.000    0.157    0.001 default.py:125(__iter__)
      243    0.000    0.000    0.157    0.001 connection_pool.py:401(__iter__)
      243    0.000    0.000    0.157    0.001 http11.py:330(__iter__)
      243    0.000    0.000    0.157    0.001 http11.py:196(_receive_response_body)
        1    0.000    0.000    0.146    0.146 element.py:1(<module>)
      278    0.002    0.000    0.135    0.000 __init__.py:280(_compile)
      268    0.000    0.000    0.135    0.001 __init__.py:226(compile)
     2766    0.025    0.000    0.135    0.000 _lxml.py:313(start)
        1    0.000    0.000    0.134    0.134 element.py:2306(__repr__)
        1    0.000    0.000    0.134    0.134 __init__.py:1073(decode)
        1    0.015    0.015    0.134    0.134 element.py:2342(decode)
      202    0.001    0.000    0.130    0.001 _compiler.py:740(compile)
   154/94    0.000    0.000    0.125    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.122    0.122 _client.py:639(__init__)
        1    0.000    0.000    0.119    0.119 _client.py:718(_init_transport)
        1    0.000    0.000    0.119    0.119 default.py:136(__init__)
        1    0.000    0.000    0.111    0.111 sync.py:188(connect_tcp)
        1    0.000    0.000    0.111    0.111 socket.py:823(create_connection)
        1    0.000    0.000    0.094    0.094 _client.py:1(<module>)
     2766    0.014    0.000    0.082    0.000 __init__.py:987(handle_starttag)
        1    0.000    0.000    0.082    0.082 _auth.py:1(<module>)
        1    0.000    0.000    0.080    0.080 css.py:1(<module>)
      202    0.001    0.000    0.078    0.000 _parser.py:969(parse)
 1150/202    0.007    0.000    0.076    0.000 _parser.py:452(_parse_sub)
        2    0.000    0.000    0.076    0.038 connection.py:1(<module>)
 4602/243    0.024    0.000    0.075    0.000 _parser.py:512(_parse)
     5405    0.021    0.000    0.073    0.000 element.py:2536(_format_tag)
        1    0.000    0.000    0.073    0.073 css_parser.py:1(<module>)
  776/769    0.010    0.000    0.072    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.062    0.062 formatter.py:1(<module>)
        1    0.000    0.000    0.062    0.062 dammit.py:1(<module>)
        2    0.000    0.000    0.059    0.030 _synchronization.py:1(<module>)
        1    0.000    0.000    0.059    0.059 socket.py:959(getaddrinfo)
        1    0.058    0.058    0.059    0.059 {built-in method _socket.getaddrinfo}
        1    0.004    0.004    0.056    0.056 dammit.py:128(_populate_class_variables)
        1    0.000    0.000    0.055    0.055 sync.py:144(start_tls)
        1    0.000    0.000    0.055    0.055 ssl.py:449(wrap_socket)
        1    0.000    0.000    0.055    0.055 ssl.py:955(_create)
        1    0.000    0.000    0.054    0.054 ssl.py:1312(do_handshake)
        1    0.054    0.054    0.054    0.054 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.052    0.052    0.052    0.052 {method 'connect' of '_socket.socket' objects}
      202    0.000    0.000    0.051    0.000 _compiler.py:573(_code)
        1    0.000    0.000    0.043    0.043 request.py:1(<module>)
      234    0.002    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     2767    0.011    0.000    0.041    0.000 element.py:1626(__init__)
 5173/202    0.018    0.000    0.041    0.000 _compiler.py:37(_compile)
     2766    0.006    0.000    0.041    0.000 _lxml.py:413(end)
     9000    0.016    0.000    0.040    0.000 formatter.py:138(substitute)
        1    0.000    0.000    0.039    0.039 css_parser.py:418(CSSParser)
     8561    0.010    0.000    0.039    0.000 __init__.py:826(endData)
       16    0.000    0.000    0.038    0.002 css_parser.py:296(__init__)
        1    0.000    0.000    0.035    0.035 _config.py:23(create_ssl_context)
        1    0.000    0.000    0.032    0.032 ssl.py:682(create_default_context)
        1    0.031    0.031    0.031    0.031 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     6209    0.002    0.000    0.030    0.000 formatter.py:161(attribute_value)
        2    0.000    0.000    0.030    0.015 _models.py:1(<module>)
      291    0.002    0.000    0.030    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.029    0.029 client.py:1(<module>)
        2    0.000    0.000    0.028    0.014 _sockets.py:1(<module>)
      288    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      288    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
     2766    0.014    0.000    0.024    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
        2    0.000    0.000    0.024    0.012 parser.py:1(<module>)
    14699    0.019    0.000    0.024    0.000 element.py:238(__setitem__)
     8197    0.009    0.000    0.023    0.000 element.py:2464(_event_stream)
146237/146217    0.023    0.000    0.023    0.000 {built-in method builtins.isinstance}
      263    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      234    0.002    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        2    0.000    0.000    0.021    0.010 typing_extensions.py:3191(__call__)
      592    0.004    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        1    0.000    0.000    0.020    0.020 css_parser.py:316(__init__)
      234    0.019    0.000    0.019    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.019    0.019 feedparser.py:1(<module>)
6178/6142    0.004    0.000    0.018    0.000 typing.py:392(inner)
       14    0.000    0.000    0.018    0.001 css_parser.py:1135(process_selectors)
    52/14    0.001    0.000    0.018    0.001 css_parser.py:911(parse_selectors)
        1    0.000    0.000    0.018    0.018 _fileio.py:1(<module>)
        1    0.000    0.000    0.017    0.017 _policybase.py:1(<module>)
    94436    0.017    0.000    0.017    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.017    0.017 to_thread.py:1(<module>)
        2    0.000    0.000    0.016    0.008 http11.py:1(<module>)
     2660    0.002    0.000    0.016    0.000 element.py:1339(output_ready)
82446/76022    0.014    0.000    0.015    0.000 {built-in method builtins.len}
     2791    0.002    0.000    0.015    0.000 element.py:426(format_string)
       24    0.000    0.000    0.015    0.001 dataclasses.py:1264(wrap)
       24    0.001    0.000    0.015    0.001 dataclasses.py:921(_process_class)
        1    0.000    0.000    0.015    0.015 base_events.py:1(<module>)
       26    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap_external>:1287(create_module)
       26    0.014    0.001    0.014    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.014    0.014 _connection.py:1(<module>)
        1    0.000    0.000    0.014    0.014 utils.py:1(<module>)
      234    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
     2766    0.003    0.000    0.014    0.000 __init__.py:1053(handle_endtag)
    42/30    0.000    0.000    0.013    0.000 css_parser.py:569(parse_pseudo_class)
    38/29    0.000    0.000    0.013    0.000 css_parser.py:732(parse_pseudo_open)
    26539    0.008    0.000    0.012    0.000 _parser.py:168(__getitem__)
     2791    0.005    0.000    0.011    0.000 __init__.py:867(object_was_parsed)
    26/25    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
    26/25    0.005    0.000    0.011    0.000 {built-in method _imp.exec_dynamic}
     2766    0.005    0.000    0.011    0.000 formatter.py:170(attributes)
     2766    0.005    0.000    0.011    0.000 __init__.py:950(_popToTag)
 5140/403    0.006    0.000    0.010    0.000 _parser.py:178(getwidth)
     8954    0.004    0.000    0.010    0.000 dammit.py:355(substitute_xml)
      202    0.001    0.000    0.010    0.000 _compiler.py:511(_compile_info)
    11811    0.009    0.000    0.010    0.000 {method 'join' of 'str' objects}
       89    0.001    0.000    0.010    0.000 dataclasses.py:449(_create_fn)
        1    0.000    0.000    0.009    0.009 _lxml.py:1(<module>)
     1234    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      234    0.009    0.000    0.009    0.000 {built-in method _io.open_code}
      707    0.006    0.000    0.009    0.000 _compiler.py:243(_optimize_charset)
3798/3674    0.006    0.000    0.009    0.000 {built-in method __new__ of type object at 0x1083bd5b0}
     2791    0.004    0.000    0.009    0.000 element.py:1291(__new__)
     1234    0.009    0.000    0.009    0.000 {built-in method posix.stat}
      196    0.000    0.000    0.008    0.000 _parser.py:98(closegroup)
     8349    0.008    0.000    0.008    0.000 element.py:376(setup)
     8193    0.003    0.000    0.008    0.000 element.py:2301(__ne__)
        1    0.000    0.000    0.008    0.008 _content.py:1(<module>)
      530    0.001    0.000    0.008    0.000 _connection.py:426(next_event)
     2767    0.006    0.000    0.008    0.000 __init__.py:809(pushTag)
        1    0.000    0.000    0.008    0.008 _events.py:1(<module>)
    13028    0.005    0.000    0.007    0.000 _parser.py:261(get)
        1    0.000    0.000    0.007    0.007 _multipart.py:1(<module>)
      279    0.001    0.000    0.007    0.000 typing.py:1269(__init__)
        1    0.000    0.000    0.007    0.007 _urls.py:1(<module>)
     9006    0.007    0.000    0.007    0.000 element.py:84(__getattr__)
  140/104    0.000    0.000    0.007    0.000 typing.py:515(__getitem__)
     9783    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap>:645(parent)
      297    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:416(__enter__)
      446    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap>:304(acquire)
2235/2234    0.001    0.000    0.006    0.000 {built-in method builtins.next}
     2791    0.004    0.000    0.006    0.000 __init__.py:732(string_container)
      104    0.001    0.000    0.006    0.000 typing.py:694(Union)
        1    0.000    0.000    0.006    0.006 cookiejar.py:1(<module>)
      263    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     3993    0.003    0.000    0.006    0.000 _lxml.py:443(data)
        1    0.000    0.000    0.006    0.006 css_match.py:1(<module>)
     9266    0.006    0.000    0.006    0.000 {method 'sub' of 're.Pattern' objects}
     2779    0.004    0.000    0.006    0.000 {built-in method builtins.sorted}
